id21,name2,age2
0,RQB,42
1,TtH,38
2,VQK,42
3,QyS,38
4,QyS,44
5,mnk,38
6,TtH,44
7,VQK,35
8,Vdl,24
9,Vdl,35
10,mnk,50
11,RQB,50
12,Vdl,38
13,ZEa,28
14,ZEa,29
15,ZEa,50
16,cxz,21
17,hbh,50
18,xGc,35
19,cxz,33
20,tCy,21
21,WyC,24
22,hbh,33
23,ieg,33
24,PLX,33
25,VQK,38
26,Vdl,44
27,WyC,21
28,ZEa,28
29,hbh,38
30,WyC,29
31,hbh,24
32,rdJ,29
33,rdJ,44
34,FEH,24
35,FEH,28
36,FEH,46
37,TtH,46
38,Vdl,24
39,QyS,29
40,mnk,28
41,mnk,39
42,PLX,39
43,Vdl,50
44,ieg,42
45,vZf,46
46,TtH,38
47,cxz,38
48,cxz,50
49,RQB,38
50,rdJ,42
51,tCy,44
52,FEH,24
53,Vdl,50
54,ieg,50
55,tCy,28
56,tCy,39
57,vZf,24
58,vZf,29
59,xGc,29
60,xGc,38
61,RQB,24
62,TtH,21
63,ZEa,29
64,cxz,38
65,hbh,50
66,yXt,35
67,QyS,35
68,TtH,38
69,VQK,50
70,hbh,33
71,hbh,37
72,TtH,33
73,WyC,29
74,mnk,24
75,mnk,29
76,QJT,38
77,QyS,39
78,RQB,38
79,WyC,29
80,FEH,24
81,QJT,35
82,RQB,39
83,TtH,35
84,ZEa,38
85,cxz,33
86,rdJ,46
87,yXt,39
88,yXt,50
89,FEH,24
90,RQB,46
91,Vdl,50
92,WyC,24
93,yXt,46
